houseID,title,link,community,years,housetype,square,direction,floor,taxtype,totalPrice,unitPrice,followInfo,decoration,validdate,coor_xy
101103000000.0,东单灯市口 霞公府 南北向4居 诚意出售 高楼层,https://bj.lianjia.com/ershoufang/101103153250.html,霞公府 ,中楼层(共7层)/2011年建板楼/东单,4室2厅,497.57,南 北,中楼层(共7层)/2011年建板楼/东单,房本满五年,6688.0,134414,196人关注/2次带看近地铁6688万单价134414元/平米,精装,12:16.7,"116.408453,39.909869"
101103000000.0,朱雀门坡上叠拼别墅  东南北三面采光   带60平米花园,https://bj.lianjia.com/ershoufang/101102721772.html,朱雀门 ,底层(共5层)/2008年建板楼/陶然亭,4室2厅,376.28,东 南 北,底层(共5层)/2008年建板楼/陶然亭,房本满五年,5239.0,139232,240人关注/6次带看房本满五年随时看房5239万单价139232元/平米,其他,13:39.2,"116.388148,39.875875"
101103000000.0,北二环 中轴国际 高层观景房 平层一梯一户,https://bj.lianjia.com/ershoufang/101103070630.html,中轴国际 ,高楼层(共21层)/2005年建板楼/安定门,4室4厅,452.8,南 西北,高楼层(共21层)/2005年建板楼/安定门,房本满五年,4972.0,109806,83人关注/0次带看近地铁房本满五年4972万单价109806元/平米,精装,11:40.5,"116.400677,39.950142"
101102000000.0,耕天下 平层五居室 五个卧室朝南 带露台 园区中间位置,https://bj.lianjia.com/ershoufang/101102234163.html,耕天下 ,中楼层(共7层)/2003年建板楼/陶然亭,5室3厅,330.24,南 北,中楼层(共7层)/2003年建板楼/陶然亭,房本满五年,4650.0,140807,117人关注/0次带看房本满五年4650万单价140807元/平米,其他,14:24.4,"116.391903,39.873245"
101102000000.0,金融世家 大户型 配套齐 一个房本 诚心卖,https://bj.lianjia.com/ershoufang/101102374972.html,金融世家 ,中楼层(共15层)/2008年建板塔结合/木樨地,4室2厅,300.79,西北,中楼层(共15层)/2008年建板塔结合/木樨地,房本满五年,4250.0,141295,190人关注/1次带看近地铁房本满两年4250万单价141295元/平米,精装,14:17.6,"116.346735,39.904601"
101103000000.0,红玺台东户高层观景房几乎全新拎包即住,https://bj.lianjia.com/ershoufang/101102673940.html,红玺台 ,高楼层(共24层)/2011年建板楼/太阳宫,4室2厅,300.84,南 北,高楼层(共24层)/2011年建板楼/太阳宫,房本满五年,4200.0,139610,201人关注/5次带看近地铁房本满五年4200万单价139610元/平米,精装,15:01.1,"116.439163,39.979600"
101103000000.0,高层观景4+2户型 南北通透 独梯独户,https://bj.lianjia.com/ershoufang/101102982736.html,棕榈泉国际公寓 ,中楼层(共30层)/2003年建板楼/朝阳公园,4室2厅,369.58,南 北,中楼层(共30层)/2003年建板楼/朝阳公园,房本满五年,4180.0,113102,86人关注/2次带看近地铁房本满五年4180万单价113102元/平米,精装,16:29.8,"116.425310,39.995172"
101101000000.0,海晟名苑南区 3室2厅 4000万,https://bj.lianjia.com/ershoufang/101100826453.html,海晟名苑南区 ,顶层(共22层)/2004年建板塔结合/工体,3室2厅,305.54,东 南 西 北,顶层(共22层)/2004年建板塔结合/工体,房本满五年,4000.0,130916,180人关注/0次带看房本满五年4000万单价130916元/平米,简装,10:54.9,"116.441909,39.937691"
101103000000.0,星河湾 4室2厅 4000万,https://bj.lianjia.com/ershoufang/101103054106.html,星河湾 ,低楼层(共12层)/2006年建板楼/朝青,4室2厅,426.16,南 北,低楼层(共12层)/2006年建板楼/朝青,房本满五年,4000.0,93862,71人关注/0次带看近地铁房本满五年4000万单价93862元/平米,精装,17:25.4,"116.523310,39.928504"
101103000000.0,北二环内=什刹海区域=和政客明星做邻居=六层板楼电梯,https://bj.lianjia.com/ershoufang/101103020559.html,丽豪园 ,顶层(共6层)/1999年建板楼/六铺炕,5室3厅,289.65,南 西 北,顶层(共6层)/1999年建板楼/六铺炕,房本满五年,3999.0,138064,60人关注/0次带看房本满五年3999万单价138064元/平米,精装,14:26.2,"116.388296,39.947370"
